,director_name,genres,movie_title,ratings,actors,combine
0,James Cameron,Action Adventure Fantasy Sci-Fi,avatar,7.9,CCH Pounder Joel David Moore Wes Studi,James Cameron Action Adventure Fantasy Sci-Fi avatar CCH Pounder Joel David Moore Wes Studi
1,Gore Verbinski,Action Adventure Fantasy,pirates of the caribbean: at world's end,7.1,Johnny Depp Orlando Bloom Jack Davenport,Gore Verbinski Action Adventure Fantasy pirates of the caribbean: at world's end Johnny Depp Orlando Bloom Jack Davenport
2,Sam Mendes,Action Adventure Thriller,spectre,6.8,Christoph Waltz Rory Kinnear Stephanie Sigman,Sam Mendes Action Adventure Thriller spectre Christoph Waltz Rory Kinnear Stephanie Sigman
3,Christopher Nolan,Action Thriller,the dark knight rises,8.5,Tom Hardy Christian Bale Joseph Gordon-Levitt,Christopher Nolan Action Thriller the dark knight rises Tom Hardy Christian Bale Joseph Gordon-Levitt
4,Doug Walker,Documentary,star wars: episode vii - the force awakens            ,7.1,Doug Walker Rob Walker Unknown,Doug Walker Documentary star wars: episode vii - the force awakens             Doug Walker Rob Walker Unknown
5,Andrew Stanton,Action Adventure Sci-Fi,john carter,6.6,Daryl Sabara Samantha Morton Polly Walker,Andrew Stanton Action Adventure Sci-Fi john carter Daryl Sabara Samantha Morton Polly Walker
7,Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,tangled,7.8,Brad Garrett Donna Murphy M.C. Gainey,Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance tangled Brad Garrett Donna Murphy M.C. Gainey
8,Joss Whedon,Action Adventure Sci-Fi,avengers: age of ultron,7.5,Chris Hemsworth Robert Downey Jr. Scarlett Johansson,Joss Whedon Action Adventure Sci-Fi avengers: age of ultron Chris Hemsworth Robert Downey Jr. Scarlett Johansson
9,David Yates,Adventure Family Fantasy Mystery,harry potter and the half-blood prince,7.5,Alan Rickman Daniel Radcliffe Rupert Grint,David Yates Adventure Family Fantasy Mystery harry potter and the half-blood prince Alan Rickman Daniel Radcliffe Rupert Grint
10,Zack Snyder,Action Adventure Sci-Fi,batman v superman: dawn of justice,6.9,Henry Cavill Lauren Cohan Alan D. Purwin,Zack Snyder Action Adventure Sci-Fi batman v superman: dawn of justice Henry Cavill Lauren Cohan Alan D. Purwin
11,Bryan Singer,Action Adventure Sci-Fi,superman returns,6.1,Kevin Spacey Marlon Brando Frank Langella,Bryan Singer Action Adventure Sci-Fi superman returns Kevin Spacey Marlon Brando Frank Langella
12,Marc Forster,Action Adventure,quantum of solace,6.7,Giancarlo Giannini Mathieu Amalric Rory Kinnear,Marc Forster Action Adventure quantum of solace Giancarlo Giannini Mathieu Amalric Rory Kinnear
13,Gore Verbinski,Action Adventure Fantasy,pirates of the caribbean: dead man's chest,7.3,Johnny Depp Orlando Bloom Jack Davenport,Gore Verbinski Action Adventure Fantasy pirates of the caribbean: dead man's chest Johnny Depp Orlando Bloom Jack Davenport
14,Gore Verbinski,Action Adventure Western,the lone ranger,6.5,Johnny Depp Ruth Wilson Tom Wilkinson,Gore Verbinski Action Adventure Western the lone ranger Johnny Depp Ruth Wilson Tom Wilkinson
15,Zack Snyder,Action Adventure Fantasy Sci-Fi,man of steel,7.2,Henry Cavill Christopher Meloni Harry Lennix,Zack Snyder Action Adventure Fantasy Sci-Fi man of steel Henry Cavill Christopher Meloni Harry Lennix
16,Andrew Adamson,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,6.6,Peter Dinklage Pierfrancesco Favino Damián Alcázar,Andrew Adamson Action Adventure Family Fantasy the chronicles of narnia: prince caspian Peter Dinklage Pierfrancesco Favino Damián Alcázar
18,Rob Marshall,Action Adventure Fantasy,pirates of the caribbean: on stranger tides,6.7,Johnny Depp Sam Claflin Stephen Graham,Rob Marshall Action Adventure Fantasy pirates of the caribbean: on stranger tides Johnny Depp Sam Claflin Stephen Graham
19,Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,6.8,Will Smith Michael Stuhlbarg Nicole Scherzinger,Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi men in black 3 Will Smith Michael Stuhlbarg Nicole Scherzinger
20,Peter Jackson,Adventure Fantasy,the hobbit: the battle of the five armies,7.5,Aidan Turner Adam Brown James Nesbitt,Peter Jackson Adventure Fantasy the hobbit: the battle of the five armies Aidan Turner Adam Brown James Nesbitt
21,Marc Webb,Action Adventure Fantasy,the amazing spider-man,7.0,Emma Stone Andrew Garfield Chris Zylka,Marc Webb Action Adventure Fantasy the amazing spider-man Emma Stone Andrew Garfield Chris Zylka
22,Ridley Scott,Action Adventure Drama History,robin hood,6.7,Mark Addy William Hurt Scott Grimes,Ridley Scott Action Adventure Drama History robin hood Mark Addy William Hurt Scott Grimes
23,Peter Jackson,Adventure Fantasy,the hobbit: the desolation of smaug,7.9,Aidan Turner Adam Brown James Nesbitt,Peter Jackson Adventure Fantasy the hobbit: the desolation of smaug Aidan Turner Adam Brown James Nesbitt
